Name,Score,1_Score,1_Halfway Score,1_Driving Accuracy,1_Greens In Regulation,1_Putting Average,1_Stroke Differential,1_Scrambling,1_Birdie/Bogey,1_Consecutive Cuts,1_Time,2_Score,2_Halfway Score,2_Driving Accuracy,2_Greens In Regulation,2_Putting Average,2_Stroke Differential,2_Scrambling,2_Birdie/Bogey,2_Consecutive Cuts,2_Time
Scott Piercy,7.0,16.0,11.0,73.21,55.56,1.775,-0.3,68.75,1.14,5.0,3.0,3.0,4.0,46.43,72.22,1.75,1.81,70.0,2.25,4.0,4.0
Will Zalatoris,7.0,5.0,10.0,62.5,80.56,1.793,1.31,64.29,2.67,2.0,4.0,4.0,5.0,57.14,65.28,1.681,2.05,72.0,2.86,1.0,5.0
Austin Cook,7.0,12.0,6.0,66.07,66.67,1.688,0.08,70.83,2.13,1.0,8.0,7.0,8.0,76.79,65.28,1.745,1.33,48.0,1.21,1.0,13.0
Jim Knous,7.0,21.0,9.0,44.64,61.11,1.75,0.02,60.71,1.17,1.0,95.0,9.0,9.0,44.64,62.5,1.778,2.09,70.37,1.78,4.0,100.0
Nate Lashley,8.0,19.0,10.0,60.71,69.44,1.82,-2.19,54.55,1.0,1.0,4.0,16.0,5.0,60.71,68.06,1.878,-1.0,60.87,0.82,2.0,11.0
Harold Varner III,8.0,10.0,9.0,64.29,81.94,1.729,1.45,76.92,4.4,4.0,2.0,8.0,3.0,44.64,69.44,1.64,1.7,68.18,3.0,3.0,3.0
Troy Merritt,8.0,10.0,3.0,71.43,72.22,1.75,0.66,45.0,1.42,1.0,6.0,0.0,1.0,85.71,76.39,1.6,2.89,70.59,3.43,6.0,10.0
Bronson Burgoon,8.0,12.0,7.0,53.57,76.39,1.782,-0.44,47.06,1.25,1.0,4.0,13.0,7.0,57.14,77.78,1.911,-0.17,81.25,2.5,1.0,8.0
Mark Hubbard,8.0,9.0,11.0,67.86,69.44,1.72,0.31,54.55,1.5,5.0,4.0,6.0,4.0,73.21,75.0,1.741,1.66,61.11,2.13,3.0,6.0
Beau Hossler,8.0,14.0,11.0,57.14,65.28,1.809,-0.94,56.0,1.09,1.0,4.0,11.0,7.0,62.5,66.67,1.729,0.41,50.0,1.58,2.0,6.0
Brendon Todd,9.0,2.0,10.0,75.0,83.33,1.767,2.06,75.0,5.33,1.0,4.0,8.0,6.0,85.71,80.56,1.845,1.0,71.43,1.71,1.0,11.0
Charley Hoffman,9.0,17.0,12.0,55.36,76.39,1.745,-0.3,70.59,2.38,2.0,2.0,10.0,8.0,78.57,68.06,1.612,1.2,52.17,2.0,1.0,3.0
Cameron Tringale,9.0,22.0,16.0,69.64,65.28,1.787,-1.55,72.0,1.56,5.0,2.0,10.0,5.0,50.0,70.83,1.588,1.2,47.62,1.83,4.0,3.0
Peter Malnati,9.0,14.0,9.0,67.86,66.67,1.708,0.2,66.67,2.0,1.0,3.0,14.0,9.0,66.07,62.5,1.711,-0.2,70.37,1.63,1.0,9.0
David Lipsky,9.0,2.0,10.0,71.43,59.72,1.698,2.58,72.41,2.1,2.0,13.0,21.0,13.0,62.5,69.44,1.8,-1.13,54.55,1.1,1.0,27.0
Chez Reavie,10.0,12.0,7.0,92.86,62.5,1.689,0.7,62.96,1.8,1.0,3.0,5.0,1.0,76.79,70.83,1.686,1.91,71.43,2.0,3.0,6.0
Patton Kizzire,10.0,16.0,13.0,64.29,56.94,1.634,-0.05,77.42,2.71,2.0,2.0,15.0,7.0,62.5,65.28,1.702,-0.05,60.0,1.46,1.0,3.0
Webb Simpson,11.0,10.0,11.0,57.14,76.39,1.618,1.45,70.59,3.67,5.0,2.0,14.0,8.0,67.86,72.22,1.712,0.2,40.0,1.38,4.0,3.0
Kevin Tway,11.0,8.0,11.0,58.93,80.56,1.793,0.56,57.14,2.0,2.0,4.0,7.0,9.0,57.14,80.56,1.776,1.33,57.14,2.63,4.0,8.0
Nick Watney,11.0,9.0,5.0,60.71,79.17,1.86,0.91,73.33,1.88,3.0,6.0,9.0,4.0,57.14,73.61,1.736,0.83,57.89,2.5,2.0,8.0
Andrew Putnam,11.0,15.0,9.0,66.07,62.5,1.711,-0.05,62.96,1.5,1.0,3.0,5.0,6.0,60.71,79.17,1.754,1.75,60.0,1.89,2.0,11.0
Wyndham Clark,11.0,10.0,11.0,35.71,59.72,1.767,1.21,82.76,2.0,7.0,15.0,16.0,10.0,48.21,45.83,1.697,-0.5,53.85,0.61,6.0,16.0
Greyson Sigg,11.0,12.0,8.0,69.64,69.44,1.74,0.08,68.18,2.29,4.0,8.0,17.0,8.0,44.64,55.56,1.85,-0.48,46.88,0.39,3.0,12.0
Phil Mickelson,12.0,26.0,17.0,58.93,55.56,1.7,-2.55,62.5,1.21,1.0,2.0,9.0,8.0,57.14,61.11,1.659,0.8,64.29,1.58,1.0,5.0
Matt Kuchar,12.0,5.0,7.0,64.29,79.17,1.789,1.31,66.67,2.38,1.0,4.0,14.0,12.0,55.36,59.72,1.767,0.21,68.97,1.22,1.0,15.0
Aaron Baddeley,12.0,12.0,8.0,73.21,68.06,1.755,0.16,69.57,1.75,1.0,6.0,10.0,5.0,53.57,63.89,1.696,0.39,73.08,1.88,2.0,10.0
Tom Hoge,12.0,20.0,12.0,69.64,55.56,1.575,-1.05,65.63,1.75,2.0,2.0,5.0,3.0,73.21,63.89,1.587,2.45,76.92,3.5,1.0,3.0
Taylor Pendrith,12.0,3.0,2.0,64.29,77.78,1.696,2.33,50.0,2.88,1.0,8.0,10.0,7.0,66.07,54.17,1.718,0.89,66.67,1.17,3.0,23.0
Nick Hardy,12.0,11.0,5.0,50.0,77.78,1.75,0.31,62.5,2.83,2.0,31.0,5.0,4.0,66.07,77.78,1.786,1.75,87.5,5.0,1.0,34.0
Jim Herman,13.0,16.0,5.0,60.71,62.5,1.778,-0.95,51.85,1.0,5.0,5.0,6.0,6.0,75.0,76.39,1.745,1.58,64.71,2.44,4.0,8.0
Brendan Steele,13.0,18.0,12.0,58.93,63.89,1.804,-0.3,61.54,0.92,1.0,7.0,15.0,6.0,67.86,68.06,1.776,0.53,56.52,1.1,13.0,14.0
Joseph Bramlett,13.0,14.0,8.0,58.93,75.0,1.87,-0.34,44.44,1.07,2.0,6.0,3.0,1.0,60.71,83.33,1.733,2.33,58.33,3.57,1.0,8.0
Paul Barjon,13.0,11.0,9.0,67.86,65.28,1.681,0.33,68.0,2.22,1.0,8.0,16.0,8.0,69.64,68.06,1.776,-0.19,52.17,1.31,1.0,28.0
Jason Dufner,13.0,4.0,10.0,69.64,66.67,1.646,1.56,62.5,2.44,4.0,4.0,8.0,5.0,67.86,75.0,1.796,1.16,66.67,2.29,3.0,6.0
Sung Kang,14.0,3.0,7.0,62.5,79.17,1.754,1.81,46.67,2.22,1.0,4.0,16.0,4.0,60.71,79.17,1.807,-0.84,60.0,1.63,1.0,6.0
Sahith Theegala,14.0,9.0,9.0,57.14,70.83,1.588,0.83,61.9,2.63,1.0,8.0,14.0,9.0,55.36,56.94,1.732,0.78,54.84,1.0,1.0,14.0
Peter Uihlein,14.0,9.0,12.0,51.79,63.89,1.804,0.83,61.54,1.18,1.0,13.0,17.0,11.0,55.77,54.17,1.718,-0.07,60.61,1.0,6.0,19.0
Adam Schenk,15.0,12.0,7.0,66.07,65.28,1.723,0.7,72.0,2.25,1.0,3.0,12.0,4.0,66.07,70.83,1.804,0.16,52.38,1.5,4.0,6.0
Luke List,15.0,19.0,11.0,55.36,66.67,1.854,-1.05,70.83,1.25,1.0,3.0,13.0,7.0,50.0,73.61,1.755,-0.09,52.63,1.9,3.0,6.0
Matthew NeSmith,15.0,12.0,9.0,66.07,76.39,1.818,0.3,70.59,2.17,2.0,9.0,12.0,6.0,71.43,70.83,1.804,-0.11,61.9,1.67,1.0,10.0
Adam Svensson,15.0,10.0,2.0,66.07,83.33,1.733,1.15,58.33,2.71,2.0,86.0,8.0,6.0,75.0,79.17,1.719,1.61,66.67,3.17,2.0,90.0
Ryan Armour,15.0,4.0,0.0,76.79,75.0,1.796,2.16,83.33,3.75,2.0,6.0,2.0,1.0,78.57,83.33,1.717,2.58,75.0,5.5,1.0,8.0
Chase Seiffert,15.0,13.0,8.0,75.0,62.5,1.711,-0.09,44.44,1.07,1.0,6.0,8.0,2.0,78.57,77.78,1.839,1.3,75.0,2.43,1.0,9.0
Russell Knox,16.0,4.0,11.0,69.64,73.61,1.623,1.56,47.37,1.92,1.0,4.0,10.0,2.0,80.36,81.94,1.729,0.39,46.15,1.8,1.0,10.0
Sam Ryder,16.0,6.0,7.0,67.86,77.78,1.714,1.06,56.25,1.83,5.0,4.0,7.0,6.0,66.07,72.22,1.712,1.41,55.0,1.89,3.0,6.0
Vaughn Taylor,16.0,11.0,6.0,64.29,72.22,1.75,0.33,75.0,2.83,2.0,8.0,9.0,6.0,80.36,77.78,1.679,1.05,43.75,1.9,1.0,9.0
Sean O'Hair,16.0,5.0,8.0,71.43,79.17,1.667,2.05,60.0,3.14,2.0,9.0,8.0,2.0,75.0,72.22,1.769,0.89,75.0,2.67,1.0,10.0
Justin Suh,16.0,9.0,0.0,76.79,63.89,1.761,1.14,65.38,1.31,3.0,23.0,12.0,8.0,64.29,73.61,1.792,0.81,68.42,2.0,2.0,28.0
Cameron Percy,17.0,7.0,8.0,62.5,73.61,1.792,0.81,68.42,2.33,7.0,4.0,9.0,8.0,75.0,83.33,1.817,0.91,50.0,1.88,5.0,6.0
Nick Taylor,17.0,2.0,10.0,58.93,73.61,1.642,2.06,57.89,2.2,1.0,4.0,16.0,9.0,73.21,72.22,1.865,-0.92,75.0,1.86,3.0,8.0
Michael Gligic,18.0,14.0,10.0,42.86,72.22,1.827,-0.94,55.0,1.23,4.0,4.0,11.0,8.0,60.71,62.5,1.711,0.41,66.67,1.67,2.0,6.0
Lanto Griffin,18.0,16.0,7.0,64.29,56.94,1.683,-0.3,64.52,1.42,1.0,3.0,13.0,10.0,66.07,69.44,1.84,0.95,68.18,1.2,4.0,7.0
Michael Thompson,19.0,10.0,7.0,73.21,70.83,1.824,0.66,61.9,1.4,2.0,6.0,10.0,7.0,75.0,73.61,1.717,0.8,68.42,2.43,1.0,9.0
Kevin Na,0.0,12.0,9.0,62.5,66.67,1.583,0.95,75.0,3.5,6.0,1.0,7.0,3.0,67.86,52.78,1.658,1.95,79.41,2.5,5.0,2.0
Jon Rahm,0.0,9.0,2.0,60.71,72.22,1.654,1.7,80.0,4.4,7.0,1.0,2.0,0.0,73.21,77.78,1.679,3.2,75.0,5.75,6.0,2.0
Xander Schauffele,2.0,20.0,7.0,60.71,68.06,1.714,-1.05,65.22,1.89,6.0,1.0,9.0,2.0,67.86,69.44,1.72,1.45,72.73,2.67,5.0,2.0
Viktor Hovland,3.0,12.0,11.0,78.57,75.0,1.759,0.95,83.33,4.0,4.0,1.0,13.0,5.0,80.36,70.83,1.667,0.45,47.62,1.92,3.0,2.0
Justin Thomas,3.0,13.0,11.0,55.36,75.0,1.759,0.7,77.78,3.8,7.0,1.0,5.0,2.0,60.71,69.44,1.58,2.45,54.55,2.6,6.0,2.0
Patrick Cantlay,3.0,0.0,1.0,66.07,80.56,1.5,3.95,57.14,5.33,3.0,1.0,8.0,5.0,62.5,62.5,1.756,1.7,85.19,2.71,2.0,2.0
Billy Horschel,4.0,22.0,15.0,78.57,72.22,1.731,-1.55,55.0,1.55,4.0,1.0,12.0,11.0,62.5,63.89,1.717,0.7,69.23,1.73,3.0,2.0
Dustin Johnson,6.0,7.0,9.0,60.71,72.22,1.615,2.2,80.0,4.5,1.0,1.0,5.0,7.0,53.57,59.72,1.628,1.8,65.52,1.82,1.0,4.0
Daniel Berger,6.0,14.0,11.0,75.0,77.78,1.821,0.45,93.75,7.5,10.0,1.0,15.0,11.0,71.43,62.5,1.778,-0.05,66.67,1.45,9.0,2.0
Sergio Garcia,7.0,7.0,4.0,78.57,80.56,1.655,2.2,78.57,6.0,1.0,1.0,11.0,11.0,64.29,68.06,1.776,0.3,60.87,1.45,5.0,4.0
Jason Kokrak,8.0,11.0,13.0,53.57,79.17,1.719,1.2,73.33,3.29,1.0,1.0,13.0,8.0,53.57,69.44,1.72,-0.2,50.0,1.25,3.0,4.0
Abraham Ancer,8.0,9.0,5.0,75.0,73.61,1.604,1.7,78.95,4.6,5.0,1.0,16.0,11.0,76.79,63.89,1.652,-0.3,53.85,1.62,4.0,2.0
Bryson DeChambeau,8.0,0.0,0.0,57.14,76.39,1.509,3.95,64.71,4.43,4.0,1.0,12.0,6.0,64.29,69.44,1.64,0.7,31.82,1.53,3.0,2.0
Rory McIlroy,9.0,5.0,6.0,73.21,76.39,1.636,2.7,76.47,6.25,8.0,1.0,13.0,11.0,67.86,59.72,1.698,0.45,72.41,2.0,7.0,2.0
Louis Oosthuizen,10.0,17.0,17.0,67.86,72.22,1.673,-0.3,65.0,2.22,15.0,1.0,9.0,4.0,58.93,59.72,1.744,0.8,79.31,2.5,14.0,4.0
Erik van Rooyen,11.0,6.0,7.0,73.21,80.56,1.707,2.45,92.86,22.0,5.0,1.0,6.0,6.0,69.64,63.89,1.522,2.2,73.08,3.0,4.0,2.0
Sam Burns,12.0,8.0,6.0,67.86,77.78,1.607,1.95,62.5,4.17,5.0,1.0,10.0,8.0,73.21,66.67,1.646,1.2,62.5,2.33,4.0,2.0
Scottie Scheffler,12.0,13.0,11.0,50.0,80.56,1.741,0.7,57.14,3.0,7.0,1.0,13.0,8.0,57.14,76.39,1.727,0.45,47.06,1.82,6.0,2.0
Corey Conners,12.0,13.0,12.0,82.14,72.22,1.692,0.7,75.0,3.33,4.0,1.0,7.0,9.0,76.79,72.22,1.654,1.95,50.0,2.2,3.0,2.0
Cameron Smith,12.0,16.0,12.0,69.64,72.22,1.692,-0.05,70.0,3.0,5.0,1.0,0.0,7.0,66.07,73.61,1.604,3.7,78.95,6.5,4.0,2.0
Harris English,12.0,14.0,11.0,58.93,73.61,1.736,0.45,78.95,3.4,10.0,1.0,12.0,7.0,66.07,58.33,1.667,0.7,66.67,1.46,9.0,2.0
Patrick Reed,12.0,12.0,10.0,58.93,55.56,1.65,0.05,71.88,1.67,2.0,4.0,9.0,8.0,57.14,63.89,1.674,0.91,57.69,1.73,1.0,5.0
Sungjae Im,13.0,4.0,4.0,80.36,76.39,1.545,2.95,82.35,6.5,8.0,1.0,9.0,6.0,75.0,65.28,1.723,1.45,68.0,2.38,7.0,2.0
Jordan Spieth,14.0,16.0,13.0,50.0,65.28,1.723,-0.05,84.0,3.2,17.0,1.0,21.0,4.0,44.64,52.78,1.553,-1.55,50.0,1.0,16.0,2.0
Tony Finau,14.0,11.0,11.0,57.14,69.44,1.58,1.2,72.73,3.83,5.0,1.0,0.0,1.0,78.57,80.56,1.638,3.7,71.43,5.75,4.0,2.0
Hideki Matsuyama,15.0,18.0,8.0,66.07,72.22,1.788,-0.55,65.0,2.13,2.0,1.0,13.0,7.0,66.07,65.28,1.638,0.45,60.0,2.0,1.0,2.0
Stewart Cink,15.0,17.0,15.0,53.57,72.22,1.769,-0.3,75.0,3.4,3.0,1.0,10.0,9.0,60.71,65.28,1.681,1.2,72.0,2.57,2.0,2.0
Collin Morikawa,17.0,25.0,19.0,75.0,69.44,1.82,-2.3,59.09,1.33,1.0,1.0,11.0,11.0,73.21,68.06,1.837,0.3,73.91,1.71,6.0,4.0
Joaquin Niemann,19.0,15.0,14.0,67.86,79.17,1.737,0.2,53.33,2.86,7.0,1.0,14.0,11.0,66.07,68.06,1.694,0.2,43.48,1.5,6.0,2.0
Patrick Cantlay,0.0,8.0,5.0,62.5,62.5,1.756,1.7,85.19,2.71,2.0,1.0,10.0,11.0,66.07,75.0,1.815,0.55,72.22,2.0,1.0,3.0
Bryson DeChambeau,0.0,12.0,6.0,64.29,69.44,1.64,0.7,31.82,1.53,3.0,1.0,4.0,4.0,60.71,66.67,1.604,2.05,62.5,2.4,2.0,3.0
Sungjae Im,4.0,9.0,6.0,75.0,65.28,1.723,1.45,68.0,2.38,7.0,1.0,4.0,8.0,69.64,86.11,1.871,1.56,70.0,3.75,6.0,2.0
Rory McIlroy,5.0,13.0,11.0,67.86,59.72,1.698,0.45,72.41,2.0,7.0,1.0,6.0,11.0,75.0,72.22,1.75,1.55,75.0,2.83,6.0,3.0
Erik van Rooyen,6.0,6.0,6.0,69.64,63.89,1.522,2.2,73.08,3.0,4.0,1.0,7.0,8.0,71.43,77.78,1.768,0.81,50.0,1.91,3.0,2.0
Dustin Johnson,7.0,5.0,7.0,53.57,59.72,1.628,1.8,65.52,1.82,1.0,3.0,8.0,4.0,60.71,69.44,1.68,2.2,50.0,1.58,4.0,5.0
Sergio Garcia,7.0,11.0,11.0,64.29,68.06,1.776,0.3,60.87,1.45,5.0,3.0,7.0,8.0,67.86,77.78,1.857,1.41,75.0,2.0,4.0,4.0
Sam Burns,8.0,10.0,8.0,73.21,66.67,1.646,1.2,62.5,2.33,4.0,1.0,0.0,3.0,53.57,65.28,1.638,3.05,76.0,3.29,3.0,3.0
Jon Rahm,9.0,2.0,0.0,73.21,77.78,1.679,3.2,75.0,5.75,6.0,1.0,4.0,6.0,69.64,80.56,1.759,3.2,57.14,2.57,5.0,5.0
Abraham Ancer,9.0,16.0,11.0,76.79,63.89,1.652,-0.3,53.85,1.62,4.0,1.0,0.0,2.0,67.86,70.83,1.667,3.05,85.71,5.0,3.0,3.0
Alex Noren,9.0,5.0,3.0,58.93,66.67,1.583,2.45,70.83,2.88,1.0,1.0,1.0,6.0,75.0,73.61,1.698,2.64,89.47,9.5,1.0,8.0
Webb Simpson,10.0,14.0,8.0,67.86,72.22,1.712,0.2,40.0,1.38,4.0,1.0,1.0,4.0,62.5,80.56,1.638,2.31,50.0,2.67,3.0,2.0
K.H. Lee,10.0,14.0,9.0,67.86,59.72,1.698,0.2,72.41,1.78,4.0,1.0,4.0,9.0,71.43,79.17,1.877,1.56,73.33,2.11,3.0,2.0
Harold Varner III,10.0,8.0,3.0,44.64,69.44,1.64,1.7,68.18,3.0,3.0,1.0,11.0,8.0,62.5,79.17,1.807,-0.19,33.33,1.6,2.0,2.0
Jason Kokrak,11.0,13.0,8.0,53.57,69.44,1.72,-0.2,50.0,1.25,3.0,3.0,12.0,11.0,46.43,70.83,1.804,1.2,57.14,1.3,2.0,5.0
Tony Finau,11.0,0.0,1.0,78.57,80.56,1.638,3.7,71.43,5.75,4.0,1.0,13.0,7.0,58.93,65.28,1.702,-0.2,60.0,1.55,3.0,3.0
Charl Schwartzel,12.0,2.0,3.0,66.07,77.78,1.696,2.66,75.0,3.8,4.0,4.0,7.0,8.0,69.64,70.83,1.804,1.33,76.19,3.0,3.0,6.0
Kevin Na,12.0,7.0,3.0,67.86,52.78,1.658,1.95,79.41,2.5,5.0,1.0,0.0,6.0,67.86,81.94,1.712,2.56,61.54,2.75,4.0,2.0
Hudson Swafford,12.0,8.0,6.0,91.07,83.33,1.817,1.7,58.33,2.22,2.0,1.0,7.0,7.0,58.93,79.17,1.737,0.81,40.0,1.57,1.0,2.0
Viktor Hovland,12.0,13.0,5.0,80.36,70.83,1.667,0.45,47.62,1.92,3.0,1.0,14.0,11.0,66.07,62.5,1.711,-0.45,66.67,1.4,2.0,3.0
Aaron Wise,12.0,10.0,6.0,73.21,65.28,1.681,1.2,60.0,2.0,2.0,1.0,8.0,10.0,55.36,79.17,1.719,0.56,40.0,1.91,1.0,2.0
Corey Conners,13.0,7.0,9.0,76.79,72.22,1.654,1.95,50.0,2.2,3.0,1.0,14.0,9.0,73.21,65.28,1.681,-0.45,52.0,1.23,2.0,3.0
Scottie Scheffler,13.0,13.0,8.0,57.14,76.39,1.727,0.45,47.06,1.82,6.0,1.0,7.0,3.0,64.29,72.22,1.673,1.3,60.0,2.11,5.0,3.0
Justin Thomas,13.0,5.0,2.0,60.71,69.44,1.58,2.45,54.55,2.6,6.0,1.0,11.0,7.0,53.57,68.06,1.694,0.3,60.87,1.67,5.0,3.0
Brooks Koepka,13.0,12.0,4.0,62.5,66.67,1.729,0.7,58.33,1.75,5.0,1.0,18.0,12.0,48.21,59.72,1.721,-1.45,55.17,0.92,4.0,3.0
Harris English,14.0,12.0,7.0,66.07,58.33,1.667,0.7,66.67,1.46,9.0,1.0,1.0,0.0,67.86,69.44,1.56,2.8,68.18,3.29,8.0,3.0
Daniel Berger,14.0,15.0,11.0,71.43,62.5,1.778,-0.05,66.67,1.45,9.0,1.0,2.0,6.0,64.29,75.0,1.704,2.55,66.67,3.33,8.0,3.0
Shane Lowry,14.0,8.0,8.0,62.5,68.06,1.653,1.7,69.57,2.3,12.0,1.0,10.0,10.0,44.64,66.67,1.688,0.55,66.67,1.8,11.0,3.0
Brian Harman,15.0,23.0,8.0,76.79,56.94,1.707,-2.05,58.06,1.0,1.0,1.0,14.0,12.0,64.29,59.72,1.767,-0.45,65.52,1.17,2.0,3.0
Cam Davis,15.0,12.0,9.0,66.07,65.28,1.66,0.7,52.0,1.67,5.0,1.0,21.0,13.0,64.29,56.94,1.732,-2.2,48.39,1.0,4.0,3.0
Joaquin Niemann,15.0,14.0,11.0,66.07,68.06,1.694,0.2,43.48,1.5,6.0,1.0,9.0,11.0,71.43,61.11,1.636,0.8,67.86,1.8,5.0,3.0
Si Woo Kim,15.0,0.0,8.0,60.71,69.44,1.7,2.56,72.73,3.17,2.0,2.0,29.0,13.0,62.5,55.56,1.775,-4.2,53.13,0.82,1.0,3.0
Sebastián Muñoz,15.0,10.0,7.0,69.64,62.5,1.622,1.2,70.37,2.22,2.0,1.0,5.0,7.0,71.43,80.56,1.776,1.31,57.14,2.13,1.0,2.0
Cameron Smith,16.0,0.0,7.0,66.07,73.61,1.604,3.7,78.95,6.5,4.0,1.0,2.0,2.0,55.36,58.33,1.5,2.55,73.33,2.56,3.0,3.0
Jordan Spieth,16.0,21.0,4.0,44.64,52.78,1.553,-1.55,50.0,1.0,16.0,1.0,6.0,13.0,62.5,68.06,1.633,1.55,60.87,2.0,15.0,3.0
Lee Westwood,16.0,11.0,5.0,76.79,69.44,1.72,0.95,68.18,1.9,4.0,1.0,12.0,9.0,64.29,70.83,1.745,0.05,47.62,1.36,3.0,3.0
Patton Kizzire,16.0,15.0,7.0,62.5,65.28,1.702,-0.05,60.0,1.46,1.0,1.0,10.0,7.0,67.86,72.22,1.75,0.66,50.0,1.58,3.0,4.0
Paul Casey,17.0,16.0,11.0,73.21,70.83,1.765,-0.3,52.38,1.38,7.0,1.0,2.0,7.0,50.0,66.67,1.667,2.55,79.17,4.0,6.0,3.0
Charley Hoffman,17.0,10.0,8.0,78.57,68.06,1.612,1.2,52.17,2.0,1.0,1.0,8.0,4.0,62.5,65.28,1.681,1.0,56.0,1.45,14.0,9.0
Stewart Cink,17.0,10.0,9.0,60.71,65.28,1.681,1.2,72.0,2.57,2.0,1.0,15.0,7.0,57.14,62.5,1.733,-0.7,62.96,1.17,1.0,3.0
Lucas Glover,17.0,19.0,17.0,53.57,56.94,1.683,-1.7,51.61,0.88,1.0,3.0,0.0,2.0,73.21,77.78,1.661,3.3,81.25,4.8,2.0,7.0
Matt Jones,17.0,15.0,11.0,55.36,68.06,1.878,-1.19,60.87,1.08,2.0,2.0,17.0,10.0,51.79,59.72,1.674,-1.2,48.28,1.06,1.0,3.0
Louis Oosthuizen,17.0,9.0,4.0,58.93,59.72,1.744,0.8,79.31,2.5,14.0,3.0,2.0,4.0,66.07,86.11,1.742,2.66,50.0,3.0,13.0,4.0
Jhonattan Vegas,17.0,3.0,7.0,58.93,80.56,1.759,1.81,71.43,3.0,9.0,2.0,2.0,1.0,55.36,76.39,1.673,2.66,64.71,2.75,8.0,4.0
Harry Higgs,17.0,9.0,9.0,66.07,61.11,1.682,1.45,67.86,1.82,2.0,1.0,3.0,11.0,53.57,73.61,1.642,1.81,47.37,2.09,1.0,2.0
Emiliano Grillo,18.0,9.0,5.0,57.14,68.06,1.653,1.95,56.52,1.7,1.0,5.0,8.0,9.0,66.07,66.67,1.688,1.71,66.67,1.64,3.0,13.0
Hideki Matsuyama,18.0,13.0,7.0,66.07,65.28,1.638,0.45,60.0,2.0,1.0,1.0,0.0,10.0,69.64,70.83,1.686,3.05,71.43,3.0,1.0,3.0
Chris Kirk,19.0,15.0,10.0,78.57,69.44,1.76,-0.05,68.18,1.88,2.0,1.0,5.0,7.0,60.71,73.61,1.736,1.31,68.42,2.0,1.0,2.0
Tom Hoge,20.0,5.0,3.0,73.21,63.89,1.587,2.45,76.92,3.5,1.0,1.0,13.0,7.0,67.86,62.5,1.844,-0.25,66.67,1.0,2.0,9.0
Xander Schauffele,20.0,9.0,2.0,67.86,69.44,1.72,1.45,72.73,2.67,5.0,1.0,16.0,15.0,51.79,65.28,1.723,-0.95,52.0,1.33,4.0,3.0
Marc Leishman,21.0,14.0,9.0,64.29,66.67,1.771,0.2,66.67,1.63,2.0,1.0,14.0,9.0,50.0,51.39,1.676,-0.45,68.57,1.36,1.0,3.0
Kevin Streelman,22.0,16.0,9.0,71.43,62.5,1.689,-0.3,48.15,1.38,3.0,1.0,1.0,6.0,73.21,86.11,1.71,2.31,30.0,3.14,2.0,2.0
Branden Grace,22.0,0.0,9.0,55.36,72.22,1.654,2.56,55.0,2.67,2.0,2.0,5.0,5.0,50.0,62.5,1.778,2.52,62.96,1.0,2.0,10.0
